"Variant ID","Product Name","Product Type","Product Color","Product Size","Product Image","Product Weight (oz)","Height (In)","Length (In)","Width (In)",Categories,"Product Price",Notes
22284,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (XL, Cornsilk)",Apparel,Cornsilk,XL,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.44,
22285,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (2XL, Cornsilk)",Apparel,Cornsilk,2XL,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.44,
22286,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (3XL, Cornsilk)",Apparel,Cornsilk,3XL,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,7.90,0.900,9.100,7.900,T-shirts,$13.44,
22287,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, Daisy)",Apparel,Daisy,S,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
22288,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (M, Daisy)",Apparel,Daisy,M,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.44,
22289,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (L, Daisy)",Apparel,Daisy,L,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.44,
22290,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (XL, Daisy)",Apparel,Daisy,XL,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.44,
22291,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (2XL, Daisy)",Apparel,Daisy,2XL,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.44,
22292,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (3XL, Daisy)",Apparel,Daisy,3XL,https://files.cdn.printful.com/products/12/22287_1739882080.jpg,7.90,0.900,9.100,7.900,T-shirts,$13.44,
22293,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, Sapphire)",Apparel,Sapphire,S,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
22294,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (M, Sapphire)",Apparel,Sapphire,M,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.44,
22295,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (L, Sapphire)",Apparel,Sapphire,L,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.44,
22296,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (XL, Sapphire)",Apparel,Sapphire,XL,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.44,
22297,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (2XL, Sapphire)",Apparel,Sapphire,2XL,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.44,
22298,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (3XL, Sapphire)",Apparel,Sapphire,3XL,https://files.cdn.printful.com/products/12/22293_1739882028.jpg,7.90,0.900,9.100,7.900,T-shirts,$13.44,
22299,"Unisex Champion Hoodie (S, Black)",Apparel,Black,S,https://files.cdn.printful.com/products/842/22299_1742308384.jpg,18.60,3.000,9.500,10.000,Hoodies,$35.00,
22300,"Unisex Champion Hoodie (S, Light Steel)",Apparel,"Light Steel",S,https://files.cdn.printful.com/products/842/22300_1742308383.jpg,18.60,3.000,9.500,10.000,Hoodies,$35.00,
22301,"Unisex Champion Hoodie (M, Black)",Apparel,Black,M,https://files.cdn.printful.com/products/842/22299_1742308384.jpg,19.50,3.000,10.000,10.500,Hoodies,$35.00,
22302,"Unisex Champion Hoodie (M, Light Steel)",Apparel,"Light Steel",M,https://files.cdn.printful.com/products/842/22300_1742308383.jpg,19.50,3.000,10.000,10.500,Hoodies,$35.00,
22303,"Unisex Champion Hoodie (L, Black)",Apparel,Black,L,https://files.cdn.printful.com/products/842/22299_1742308384.jpg,19.60,3.000,10.000,10.000,Hoodies,$35.00,
22304,"Unisex Champion Hoodie (L, Light Steel)",Apparel,"Light Steel",L,https://files.cdn.printful.com/products/842/22300_1742308383.jpg,19.60,3.000,10.000,10.000,Hoodies,$35.00,
